TS_LOAD,OPR_NAME,VEH_SER_NO,DEPARTMENT_ABBR,DEPARTMENT_NAME
2017-03-08 13:24:22.454792,Chassis Start,PJL425,PCH,Pre-Paint Chassis
2017-03-09 08:10:26.356364,Pool 13 Start,DPH631,ENG,Pre-Paint Chassis
2017-03-08 10:46:13.525265,None,JCV863,None,None
2017-03-06 11:30:00.766630,None,FHL296,None,None
2017-03-08 16:19:50.892137,CIW upload,FQP941,CIW,Cab In White
2017-03-08 17:08:18.582254,CIW upload,JYZ708,CIW,Cab In White
2017-03-08 08:58:13.285584,PAINT,UWT728,PNT,Paint
2017-03-08 12:58:48.176632,Cab Upload,KSX968,FCB,Final Cab
2017-03-08 05:35:59.688007,Rear U-Bolt,DZV145,PCH,Pre-Paint Chassis
2017-03-06 13:26:11.753718,Enter Offline,JIN079,OFF,Offline
2017-03-08 14:26:39.496507,None,XWS890,None,None
2017-03-08 13:50:01.025837,Chassis Start,IOU412,PCH,Pre-Paint Chassis
2017-03-09 16:36:04.568085,CIW upload,LES327,CIW,Cab In White
