TS_LOAD;PAINT_COMP;REPAINT_REQ_INDC;VEH_SER_NO
2017-03-10 09:08:26.050645;CAB;N;RUK258
2017-03-10 09:09:09.529377;CAB;N;UZV267
2017-03-10 09:08:30.624727;CAB;N;RUK258
2017-03-10 09:08:36.995495;CAB;N;UZV267
2017-03-10 09:08:42.271052;CAB;N;RUK258
2017-03-10 09:08:47.862486;CAB;N;UZV267
2017-03-10 09:11:47.000101;CAB;Y;UZV267
2017-03-10 09:12:07.375514;CAB;N;UZV267
2017-03-10 09:13:54.520357;CAB;Y;UZV267
2017-03-10 09:14:23.603310;CAB;N;UZV267
2017-03-10 09:14:28.788449;CAB;N;UZV267
2017-03-10 09:31:30.349571;CAB;Y;DIN812
2017-03-10 09:31:34.862876;CAB;N;DIN812
2017-03-10 09:31:58.599016;CAB;N;DIN812
2017-03-10 09:32:28.544956;CAB;N;DIN812
2017-03-10 09:32:34.452699;CAB;N;DIN812
2017-03-10 09:32:41.124506;CAB;N;DIN812
2017-03-10 09:37:32.091221;CAB;N;BPM756
2017-03-10 09:42:32.885163;CAB;N;XWS890
2017-03-10 09:42:48.089215;CAB;N;XWS890
2017-03-10 09:43:30.535093;CAB;N;XWS890
2017-03-10 09:43:37.391350;CAB;N;XWS890
2017-03-10 10:05:23.611812;CAB;N;ZBT013
2017-03-10 10:05:07.470989;CAB;N;ZBT013
2017-03-10 10:06:16.843636;CAB;Y;ZBT013
2017-03-10 10:06:31.212579;CAB;N;LWM061
2017-03-10 10:07:06.578857;CAB;N;ZBT013
2017-03-10 10:07:32.212814;CAB;N;LWM061
2017-03-10 10:13:11.790392;CAB;N;ZJU865
2017-03-10 10:17:47.200003;CAB;N;JZP143
2017-03-10 10:20:28.204392;CAB;N;JZP143
2017-03-10 10:22:05.343787;CAB;N;ZBT013
2017-03-10 10:22:11.526854;CAB;N;ZBT013
2017-03-10 10:26:00.843026;CAB;N;TJG894
2017-03-10 10:26:08.248690;CAB;N;TJG894
2017-03-10 10:26:22.318671;CAB;N;TJG894
2017-03-10 10:27:29.066461;CAB;N;TJG894
2017-03-10 10:29:48.853926;CAB;Y;FHL296
2017-03-10 10:29:58.166783;CAB;N;FHL296
2017-03-10 10:30:04.802086;CAB;N;FHL296
2017-03-10 10:30:57.071706;CAB;N;FHL296
2017-03-10 10:31:32.588700;CAB;N;FHL296
2017-03-10 10:31:56.447705;CAB;Y;FHL296
2017-03-10 10:32:33.152609;CAB;Y;FHL296
2017-03-10 10:32:40.865656;CAB;Y;FHL296
2017-03-10 10:35:52.339791;CAB;N;GWE561
2017-03-10 10:40:40.587372;CAB;N;GWE561
2017-03-10 10:41:51.706555;CAB;N;GWE561
2017-03-10 10:41:52.532527;CAB;N;GWE561
2017-03-10 10:41:59.615917;CAB;N;GWE561
2017-03-10 10:49:15.368408;CAB;N;FCR320
2017-03-10 10:49:23.491753;CAB;N;FCR320
2017-03-10 10:49:30.861062;CAB;N;FCR320
2017-03-10 10:49:40.810950;CAB;N;FCR320
2017-03-10 10:49:47.063637;CAB;N;FCR320
2017-03-10 10:54:25.042824;CAB;N;TEN567
2017-03-10 10:54:29.277353;CAB;N;TEN567
2017-03-10 10:54:35.140384;CAB;N;TEN567
2017-03-10 10:54:39.059676;CAB;N;TEN567
2017-03-10 10:58:33.251726;CAB;N;WBS653
2017-03-10 10:59:10.446944;CAB;N;WBS653
2017-03-10 11:04:06.733995;CAB;N;TEN567
2017-03-10 11:04:37.385197;CAB;N;TEN567
2017-03-10 11:04:41.908145;CAB;N;TEN567
2017-03-10 11:04:47.125956;CAB;N;TEN567
2017-03-10 11:04:51.222034;CAB;N;TEN567
2017-03-10 11:04:56.128132;CAB;N;TEN567
2017-03-10 11:05:00.611896;CAB;N;TEN567
2017-03-10 11:08:45.184804;CAB;N;WBS653
2017-03-10 11:11:41.591442;CAB;N;JNM860
2017-03-10 11:11:48.370545;CAB;N;JNM860
