TS_LOAD;SYS_DESC;VEH_SER_NO;OPR_NAME
2017-03-08 14:20:50.927000;Assembly Line Tracker;EBL860;Pool 60 Start
2017-03-08 14:24:04.867000;Cab call scan;DPL397;A Line
2017-03-08 14:25:04.000000;U-BOLT;SYV137;Front U-Bolt
2017-03-08 14:25:46.000000;U-BOLT;SYV137;Rear U-Bolt
2017-03-08 14:26:30.000000;STVMS Tracking Chassis Start;DPH631;Chassis Start
2017-03-08 14:27:09.887000;Cab Conveyer;TZO690;Cab Upload 2
2017-03-08 14:27:09.887000;Cab Conveyor / Monorail;TZO690;Cab Upload
2017-03-08 14:33:03.000000;U-BOLT;ZVI392;Front U-Bolt
2017-03-08 14:33:47.000000;U-BOLT;ZVI392;Rear U-Bolt
2017-03-08 14:55:58.453000;Cab in white conveyer;GWC415;CIW upload
2017-03-09 04:47:08.865851;Paint Inspection;YWI795;PAINT
2017-03-09 04:49:53.727000;Cab in white conveyer;LCQ598;CIW upload
2017-03-09 04:56:19.703000;Cab in white conveyer;HOJ276;CIW upload
2017-03-09 05:01:19.170000;Cab in white conveyer;KIA624;CIW upload
2017-03-09 05:01:49.085894;Paint Inspection;GJK683;PAINT
2017-03-09 05:03:51.250277;Paint Inspection;EVB234;PAINT
2017-03-09 05:09:13.757000;Cab in white conveyer;YHP863;CIW upload
2017-03-09 05:14:25.247000;Cab in white conveyer;SEU602;CIW upload
2017-03-09 05:20:15.164184;Paint Inspection;YCU023;PAINT
2017-03-09 05:20:16.240000;Cab in white conveyer;EZV240;CIW upload
2017-03-09 05:25:48.263000;Cab in white conveyer;HTV792;CIW upload
2017-03-09 05:25:59.676792;Paint Inspection;ADQ781;PAINT
2017-03-09 05:31:43.237795;Paint Inspection;QLV652;PAINT
2017-03-09 05:32:33.300000;Cab in white conveyer;MGR987;CIW upload
2017-03-09 05:37:28.823000;Cab in white conveyer;HXT823;CIW upload
2017-03-09 05:37:45.347316;Paint Inspection;RBT219;PAINT
2017-03-09 05:39:03.207415;Paint Inspection;EQD264;PAINT
2017-03-09 05:42:50.827000;Cab in white conveyer;SNU912;CIW upload
2017-03-09 05:43:30.265527;Paint Inspection;YXF326;PAINT
2017-03-09 05:48:31.337000;Cab in white conveyer;CFO213;CIW upload
2017-03-09 05:55:58.196721;Paint Inspection;HMS840;PAINT
2017-03-09 05:59:27.420000;Cab in white conveyer;XET976;CIW upload
2017-03-09 06:36:35.553000;Cab Call Scan;UWT728;B Line
2017-03-09 06:39:30.787000;OMT Offline Tracking;TEP325;Enter Offline
2017-03-09 06:41:15.100000;Cab in white conveyer;TXR569;CIW upload
2017-03-09 06:42:22.970572;Paint Inspection;IXT460;PAINT
